dataname	id	macF1	micF1	k1	kacc	knmi	sim	lambd0	lambd1	lambd2	w_loss1	w_loss2
dblp	2752	0.2735+	0.3104+	0.1258791449878904,std:0.141233812	 macro_f1s:0.27352050751532914,std:0.012600165093340549, micro_f1s:0.3104497181067261,std:0.01505311447292026,k1:0.1258791449878904,std:0.1412338129214845	 macro_f1s:0.273520	 macro_f1s:0.2735205075153291	0.0001	0.0001	0.0001	0.1	1.0
dblp	2753	0.5191+	0.5463+	0.39298540402138243,std:0.160464949	 macro_f1s:0.5190732581288815,std:0.004654465092962856, micro_f1s:0.5462829421791006,std:0.016695008730450253,k1:0.39298540402138243,std:0.1604649493677216	 macro_f1s:0.519073	 macro_f1s:0.5190732581288815	0.0001	0.0001	0.0001	0.1	1.0
dblp	2754	0.6278+	0.6401+	0.34589258073849244,std:0.14891885	 macro_f1s:0.6277951782484056,std:0.013288456442256217, micro_f1s:0.6400681788383376,std:0.0018335226019575962,k1:0.34589258073849244,std:0.148918854871658	 macro_f1s:0.627795	 macro_f1s:0.6277951782484056	0.0001	0.0001	0.0001	0.1	1.0
dblp	2755	0.7456+	0.7401+	0.37750230414734975,std:0.136086704	 macro_f1s:0.7455529288107159,std:0.011602922092263839, micro_f1s:0.7400550675232727,std:0.01151098794473384,k1:0.37750230414734975,std:0.1360867049729761	 macro_f1s:0.745552	 macro_f1s:0.7455529288107159	0.0001	0.0001	0.0001	0.1	1.0
dblp	2756	0.6249+	0.5867+	0.3254812083539967,std:0.148488094	 macro_f1s:0.6249031956795376,std:0.03203852270122112, micro_f1s:0.5866657925789955,std:0.03457780928506509,k1:0.3254812083539967,std:0.1484880944389901	 macro_f1s:0.624903	 macro_f1s:0.6249031956795376	0.0001	0.0001	0.0001	0.1	1.0
dblp	2757	0.6111+	0.5983+	0.5259096378426675,std:0.13015053	 macro_f1s:0.6110553350193083,std:0.0037162476513572145, micro_f1s:0.5982955290415628,std:0.007847929843886717,k1:0.5259096378426675,std:0.130150531573772	 macro_f1s:0.611055	 macro_f1s:0.6110553350193083	0.0001	0.0001	0.0001	0.1	1.0
dblp	2758	0.7497+	0.7274+	0.5967684418505769,std:0.11772748	 macro_f1s:0.7496529058419099,std:0.018596310000848874, micro_f1s:0.727415759800708,std:0.019243194426326635,k1:0.5967684418505769,std:0.117727488800205	 macro_f1s:0.749652	 macro_f1s:0.7496529058419099	0.0001	0.0001	0.0001	0.1	1.0
dblp	2759	0.7123+	0.6942+	0.5387258172107321,std:0.13028020	 macro_f1s:0.7123473451691489,std:0.013306289976437664, micro_f1s:0.6941654647961191,std:0.013662871067752649,k1:0.5387258172107321,std:0.130280208105696	 macro_f1s:0.712347	 macro_f1s:0.7123473451691489	0.0001	0.0001	0.0001	0.1	1.0
dblp	2760	0.6608+	0.6326+	0.5515744962696557,std:0.123899869	 macro_f1s:0.6608398545779135,std:0.009066670898232447, micro_f1s:0.6325553953061492,std:0.007714368434471212,k1:0.5515744962696557,std:0.1238998690116930	 macro_f1s:0.660839	 macro_f1s:0.6608398545779135	0.0001	0.0001	0.0001	0.1	1.0
dblp	2761	0.2845+	0.3033+	0.12425145852854762,std:0.14401481	 macro_f1s:0.2844622343028077,std:0.021865973815235966, micro_f1s:0.3032909400812901,std:0.032256755659399464,k1:0.12425145852854762,std:0.144014812012814	 macro_f1s:0.284462	 macro_f1s:0.2844622343028077	0.0001	0.0001	0.0001	0.1	1.0
